year,age_group,sex,population
2023,55-59,Female,614189.0
2023,55-59,Male,581931.0
2023,60-64,Female,554778.0
2023,60-64,Male,508419.0
2023,65-69,Female,477077.0
2023,65-69,Male,419254.0
2023,70-74,Female,372694.0
2023,70-74,Male,310192.0
2023,75-79,Female,267102.0
2023,75-79,Male,204017.0
2023,80+,Female,389542.0
2023,80+,Male,224250.0
2024,0-4,Female,580776.0
2024,0-4,Male,603305.0
2024,10-14,Female,634559.0
2024,10-14,Male,657714.0
2024,15-19,Female,614278.0
2024,15-19,Male,635804.0
2024,20-24,Female,641616.0
2024,20-24,Male,661712.0
2024,25-29,Female,746460.0
2024,25-29,Male,767831.0
2024,30-34,Female,838059.0
2024,30-34,Male,861519.0
2024,35-39,Female,770683.0
2024,35-39,Male,790820.0
2024,40-44,Female,705304.0
2024,40-44,Male,715861.0
2024,45-49,Female,669888.0
2024,45-49,Male,667483.0
2024,5-9,Female,599322.0
2024,5-9,Male,622349.0
2024,50-54,Female,628569.0
2024,50-54,Male,612505.0
2024,55-59,Female,616599.0
2024,55-59,Male,585699.0
2024,60-64,Female,567088.0
2024,60-64,Male,521387.0
2024,65-69,Female,488891.0
2024,65-69,Male,430924.0
2024,70-74,Female,392267.0
2024,70-74,Male,326872.0
2024,75-79,Female,277579.0
2024,75-79,Male,213855.0
2024,80+,Female,403939.0
2024,80+,Male,234860.0
